source,target,tweet_text,tweet_date
@ROUANETRobin,@ZA31xF9G69,"Escargophone trouvé !
Les Shandia contre les prélats ! À ne pas rater !
http://bnent.jp/optc-den2f/ #TreCru",2017-05-02T23:41:59.000Z
@ROUANETRobin,@TreCru,"Escargophone trouvé !
Les Shandia contre les prélats ! À ne pas rater !
http://bnent.jp/optc-den2f/ #TreCru",2017-05-02T23:41:59.000Z
@TheVoliver,,Smells like hypocrisy and Rouanet Law,2017-05-02T23:34:41.000Z
@boteruh,@jc_pe,"Como funciona a lei Rouanet, amigo?",2017-05-02T23:31:34.000Z
@boteruh,@Tonhitto,"Como funciona a lei Rouanet, amigo?",2017-05-02T23:31:34.000Z
@obsuni,@fofocasonline,Deve ter tido apoio da Lei Rouanet,2017-07-03T23:49:40.000Z
@obsuni,@Silvio_MKT,Deve ter tido apoio da Lei Rouanet,2017-07-03T23:49:40.000Z
@Cristiamo0,@discobaby8000,O meu tu nao pode dar em mim,2017-07-03T23:05:39.000Z
@Cristiamo0,@themengue,Huee,2017-07-03T23:04:53.000Z
@Cristiamo0,@_jennial,Huee,2017-07-03T23:04:53.000Z
@Cristiamo0,@missnoia,Huee,2017-07-03T23:04:53.000Z
@Cristiamo0,@hidromarina,Mas não briquem com meus planos com comida <\3,2017-08-03T23:49:20.000Z
@Cristiamo0,@aquammarina,Mas não briquem com meus planos com comida <\3,2017-08-03T23:49:20.000Z
@Cristiamo0,@grandemasbom,Mas não briquem com meus planos com comida <\3,2017-08-03T23:49:20.000Z
@Cristiamo0,@hidromarina,Tão perdoados.,2017-08-03T23:48:48.000Z
@Cristiamo0,@aquammarina,Tão perdoados.,2017-08-03T23:48:48.000Z
@Cristiamo0,@grandemasbom,Tão perdoados.,2017-08-03T23:48:48.000Z
@Cristiamo0,@grandemasbom,@grandemasbom,2017-08-03T23:43:55.000Z
@LeandruMartins,@ajulysantos,"Ele tem q ficar esperto é cm a fiscalização da Rouanet, o cuspidor global vai ter de devolver 300 conto nessa brincadeira kkkkkk",2017-09-03T02:18:28.000Z
@WRochaFLA,@g1,Se duvidar ainda pegaram uma grana da Lei Rouanet para fazer isso...,2017-09-03T02:10:54.000Z
@Leoehpardo,@JornalOGlobo,"Pena que nós temos que pagar as contas deles via lei rouanet enquanto ele xinga quem carrega o Brasil nas costas de racistas, fascistas etc",2017-09-03T01:33:24.000Z
@Leoehpardo,@Ancelmocom,"Pena que nós temos que pagar as contas deles via lei rouanet enquanto ele xinga quem carrega o Brasil nas costas de racistas, fascistas etc",2017-09-03T01:33:24.000Z
@Blogbone8,,Ñ esqueçam q nova novela 18h @RedeGlobo está cheio de bandidos q foram bancados p rouanet são PTistas de carteirinha a tal Leticia Sabatela,2017-09-03T01:05:05.000Z
@FranckRouanet,@archive,"GymPact, motivation pour Runkeeper http://bit.ly/ZJSWIr #archive ""Un café, mon bloc note...""",2017-09-03T00:48:11.000Z
@FranckRouanet,@rlHIttCz1F,"GymPact, motivation pour Runkeeper http://bit.ly/ZJSWIr #archive ""Un café, mon bloc note...""",2017-09-03T00:48:11.000Z
@gettshullenffen,@jornalextra,"Nem a doce Picos ""Capital do mel"" aguentou esse boçal da Rouanet.",2017-09-03T00:32:38.000Z
@Cristiamo0,,Me senti velho hj comprando presente pra casa nova dos meus amigos.,2017-09-03T00:16:17.000Z
@Marcelo_Jlle_SC,@paulormt,Enquanto isso nada de CPI da Lei Rouanet,2017-09-03T00:10:28.000Z
@Marcelo_Jlle_SC,@MichelTemer,Enquanto isso nada de CPI da Lei Rouanet,2017-09-03T00:10:28.000Z
@ChrisRouanet,@BFMTV,Bon courage pour cette nuit d'info !,2017-09-02T23:05:12.000Z
@ChrisRouanet,@cpitelet,Bon courage pour cette nuit d'info !,2017-09-02T23:05:12.000Z
@lanachama,@Cecillia,Com certeza não foi com verbas da Lei ROUANET !!! E os patrocinadores do filme LULA FILHO DO BRASIL vão querer saber tbm ???,2017-09-02T20:32:14.000Z
@Magnuspm,@jairbolsonaro,"Presidente, só pra esclarecer, quanto ele ganhou do Senhor, do Governo, ""rouanet"" da vida, BNDES ou algum outro mesmo?! ?NADA?! #bolsonaro18",2017-09-02T19:39:34.000Z
@Magnuspm,@bolsonaro18,"Presidente, só pra esclarecer, quanto ele ganhou do Senhor, do Governo, ""rouanet"" da vida, BNDES ou algum outro mesmo?! ?NADA?! #bolsonaro18",2017-09-02T19:39:34.000Z
@nilson_quintao,@folha, .... LEI ROUANET QUE NÃO FOI !!!!!! ... ,2017-09-02T19:30:35.000Z
@nilson_quintao,@monicabergamo, .... LEI ROUANET QUE NÃO FOI !!!!!! ... ,2017-09-02T19:30:35.000Z
@Marcelo63419775,@folha,"Que tal descobrir os financiadores de ""lula(ladrão)pelo brasil""????da lei rouanet???Brasil,pais da hipocrisia!!!",2017-09-02T18:51:00.000Z
@Marcelo63419775,@monicabergamo,"Que tal descobrir os financiadores de ""lula(ladrão)pelo brasil""????da lei rouanet???Brasil,pais da hipocrisia!!!",2017-09-02T18:51:00.000Z
@afandrioli1964,@g1,"Isto é arte? É uma idiotice, provavelmente pegou dinheiro da Lei Rouanet",2017-09-02T18:26:54.000Z
@New_Delia,@QUsZcPjV6i,PRA NÃO ESQUECER: CPI da Lei Rouanet encontra incoerências em documentos apresentados por Zé de Abreu: https://noticiasbrasilonline.com.br/cpi-da-lei-rouanet-encontra-incoerencias-em-documentos-apresentados-por-ze-de-abreu/…,2017-09-02T18:15:51.000Z
@julieROUANET,@NDfMs0ph7X,https://pscp.tv/w/bHmXxjFQWEVkbXhxZWdaUWV8MW1ueGVtckFkalF4WNOfCKpOPAEYHYy2vwzeMRwbp_6vFdGBSNbui5GLoAUD…,2017-09-02T18:00:37.000Z
@julieROUANET,@Top14,"#castresolympique
#Top14 
#tousensemble",2017-09-02T18:00:06.000Z
@julieROUANET,@tousensemble,"#castresolympique
#Top14 
#tousensemble",2017-09-02T18:00:06.000Z
@julieROUANET,@castresolympique,"#castresolympique
#Top14 
#tousensemble",2017-09-02T18:00:06.000Z
@FranckRouanet,@innovation,Le Journal de Franck Rouanet est sorti de presse : http://paper.li/FranckRouanet?edition_id=c79e8360-9005-11e7-857d-0cc47a0d1605… #afp #innovation,2017-09-02T17:40:19.000Z
@FranckRouanet,@afp,Le Journal de Franck Rouanet est sorti de presse : http://paper.li/FranckRouanet?edition_id=c79e8360-9005-11e7-857d-0cc47a0d1605… #afp #innovation,2017-09-02T17:40:19.000Z
@FranckRouanet,@Heh0T3bRTX,Le Journal de Franck Rouanet est sorti de presse : http://paper.li/FranckRouanet?edition_id=c79e8360-9005-11e7-857d-0cc47a0d1605… #afp #innovation,2017-09-02T17:40:19.000Z
@JefersonAnjos10,,"Creio que eles desejam, tal qual a lei ""ROUANET"", uma BOLSA PRESERVAÇÃO PARA A CLASSE ARTÍSTICA, afinal eles não podem ficar fora dessa tbm.",2017-09-02T17:08:43.000Z
@jeanfellipe,@foraPT,"Dos grandes intelectuais formadores de opiniao desse pais, e que defendem #MinC, quantos tiveram o privilegio da Lei Rouanet? #foraPT",2017-09-02T17:00:08.000Z
@jeanfellipe,@MinC,"Dos grandes intelectuais formadores de opiniao desse pais, e que defendem #MinC, quantos tiveram o privilegio da Lei Rouanet? #foraPT",2017-09-02T17:00:08.000Z
@FranckRouanet,@F60peHZ5ie,"Musique : Antoine Fadavi http://bit.ly/MwdflV #archive ""Un café, mon bloc note...""",2017-09-02T16:47:34.000Z
